date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:07:02	511707/511707	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Dec%202019%2014:17:41%20GMT	https://www.erensibot.com/webfonts/fa-brands-400.svg	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/fa-brands-400.svg	(from https://www.erensibot.com/css/fontawesome-all.min.css)
17:07:02	30788/30788	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2016%20Dec%202019%2014:17:42%20GMT	https://www.erensibot.com/webfonts/fa-regular-400.eot	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/fa-regular-400.eot	(from https://www.erensibot.com/css/fontawesome-all.min.css)
17:07:02	30788/30788	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2016%20Dec%202019%2014:17:42%20GMT	https://www.erensibot.com/webfonts/fa-regular-400.eot?	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/fa-regular-400d41d.eot	(from https://www.erensibot.com/css/fontawesome-all.min.css)
17:07:03	12216/12216	---M--	200	added ('OK')	font/woff2	date:Mon,%2016%20Dec%202019%2014:17:43%20GMT	https://www.erensibot.com/webfonts/fa-regular-400.woff2	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/fa-regular-400.woff2	(from https://www.erensibot.com/css/fontawesome-all.min.css)
17:07:03	14672/14672	---M--	200	added ('OK')	font/woff	date:Mon,%2016%20Dec%202019%2014:17:43%20GMT	https://www.erensibot.com/webfonts/fa-regular-400.woff	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/fa-regular-400.woff	(from https://www.erensibot.com/css/fontawesome-all.min.css)
17:07:03	30560/30560	---M--	200	added ('OK')	font/ttf	date:Mon,%2016%20Dec%202019%2014:17:42%20GMT	https://www.erensibot.com/webfonts/fa-regular-400.ttf	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/fa-regular-400.ttf	(from https://www.erensibot.com/css/fontawesome-all.min.css)
17:07:03	103937/103937	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Dec%202019%2014:17:42%20GMT	https://www.erensibot.com/webfonts/fa-regular-400.svg	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/fa-regular-400.svg	(from https://www.erensibot.com/css/fontawesome-all.min.css)
17:07:04	115148/115148	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2016%20Dec%202019%2014:17:43%20GMT	https://www.erensibot.com/webfonts/fa-solid-900.eot	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/fa-solid-900.eot	(from https://www.erensibot.com/css/fontawesome-all.min.css)
17:07:04	115148/115148	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2016%20Dec%202019%2014:17:43%20GMT	https://www.erensibot.com/webfonts/fa-solid-900.eot?	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/fa-solid-900d41d.eot	(from https://www.erensibot.com/css/fontawesome-all.min.css)
17:07:04	44068/44068	---M--	200	added ('OK')	font/woff2	date:Mon,%2016%20Dec%202019%2014:17:45%20GMT	https://www.erensibot.com/webfonts/fa-solid-900.woff2	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/fa-solid-900.woff2	(from https://www.erensibot.com/css/fontawesome-all.min.css)
17:07:04	55484/55484	---M--	200	added ('OK')	font/woff	date:Mon,%2016%20Dec%202019%2014:17:45%20GMT	https://www.erensibot.com/webfonts/fa-solid-900.woff	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/fa-solid-900.woff	(from https://www.erensibot.com/css/fontawesome-all.min.css)
17:07:05	114928/114928	---M--	200	added ('OK')	font/ttf	date:Mon,%2016%20Dec%202019%2014:17:47%20GMT	https://www.erensibot.com/webfonts/fa-solid-900.ttf	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/fa-solid-900.ttf	(from https://www.erensibot.com/css/fontawesome-all.min.css)
17:07:05	420283/420283	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Dec%202019%2014:17:45%20GMT	https://www.erensibot.com/webfonts/fa-solid-900.svg	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/fa-solid-900.svg	(from https://www.erensibot.com/css/fontawesome-all.min.css)
17:07:05	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2016%20Dec%202019%2014:17:46%20GMT	https://www.erensibot.com/webfonts/ionicons.eot?v=2.0.1	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/ionicons790f.eot	(from https://www.erensibot.com/css/ionicons.min.css)
17:07:05	188508/188508	---M--	200	added ('OK')	font/ttf	date:Mon,%2016%20Dec%202019%2014:17:48%20GMT	https://www.erensibot.com/webfonts/ionicons.ttf?v=2.0.1	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/ionicons790f.ttf	(from https://www.erensibot.com/css/ionicons.min.css)
17:07:06	67904/67904	---M--	200	added ('OK')	font/woff	date:Mon,%2016%20Dec%202019%2014:17:49%20GMT	https://www.erensibot.com/webfonts/ionicons.woff?v=2.0.1	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/ionicons790f.woff	(from https://www.erensibot.com/css/ionicons.min.css)
17:07:06	333834/333834	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2016%20Dec%202019%2014:17:47%20GMT	https://www.erensibot.com/webfonts/ionicons.svg?v=2.0.1	C:/Benim%20Web%20Sitem/v1/www.erensibot.com/webfonts/ionicons790f.svg	(from https://www.erensibot.com/css/ionicons.min.css)
